Current Price,Original Price,Discount,Brand,Rating,Review Count,Baby-products
850,1207,30%,Molfix,4,3,Baby-products
19800,24750,20%,Generic,4.1,90,Baby-products
6499,N/A,N/A,Generic,5,4,Baby-products
8000,20800,62%,N/A,3.8,16,Baby-products
850,1621,48%,N/A,4.3,12,Baby-products
7680 -  7900,20540 -  20800,63%,N/A,5,3,Baby-products
9074,27145,67%,N/A,3.8,110,Baby-products
26800,28800,7%,Generic,3,1,Baby-products
15530,17000,9%,Generic,4.4,330,Baby-products
8000,20800,62%,N/A,4.3,3,Baby-products
8000,20800,62%,N/A,4.8,4,Baby-products
8000,20800,62%,N/A,3.7,9,Baby-products
10800,16700,35%,N/A,3.8,30,Baby-products
6395,13500,53%,Generic,4.6,63,Baby-products
7680,20800,63%,N/A,4.7,3,Baby-products
11000,N/A,N/A,N/A,4.6,33,Baby-products
7680,20800,63%,N/A,5,2,Baby-products
14300,N/A,N/A,Generic,3.2,36,Baby-products
21550,32345,33%,Generic,3.8,33,Baby-products
8000,20800,62%,N/A,3,1,Baby-products
8000,20800,62%,N/A,4.4,9,Baby-products
32800,39040,16%,Generic,4.5,33,Baby-products
8000,20800,62%,N/A,3,4,Baby-products
7680,20800,63%,N/A,5,3,Baby-products
10100,N/A,N/A,Generic,4,121,Baby-products
8000,20800,62%,N/A,4.8,5,Baby-products
8900,N/A,N/A,N/A,4,162,Baby-products
8750,29000,70%,Generic,4.4,23,Baby-products
80000,86000,7%,Generic,4.2,9,Baby-products
7500,N/A,N/A,Lansinoh,4.2,84,Baby-products
10827,22144,51%,N/A,4.1,54,Baby-products
1999,N/A,N/A,N/A,3.4,16,Baby-products
28000,35000,20%,Generic,5,1,Baby-products
39800,43800,9%,Generic,4.4,18,Baby-products
2800,N/A,N/A,Generic,3.6,89,Baby-products
11300,N/A,N/A,N/A,4,31,Baby-products
5999,N/A,N/A,N/A,4.3,6,Baby-products
6500,8000,19%,Generic,4.2,25,Baby-products
26950,52500,49%,Generic,4.1,64,Baby-products
7200,20800,65%,N/A,4.7,6,Baby-products
3381,9480,64%,Generic,N/A,N/A,Baby-products
7200,20800,65%,N/A,4.7,6,Baby-products
11297,20698,45%,Generic,3.7,29,Baby-products
1207,N/A,N/A,N/A,3.7,6,Baby-products
2900,4000,28%,Little Angel,4.8,5,Baby-products
7680,20800,63%,N/A,3.3,3,Baby-products
8000,20800,62%,N/A,3.8,6,Baby-products
8000,20800,62%,N/A,3.7,3,Baby-products
8000,20800,62%,N/A,5,2,Baby-products
36000,N/A,N/A,Generic,4.3,26,Baby-products
7200,20800,65%,N/A,5,1,Baby-products
3900,7900,51%,Generic,N/A,N/A,Baby-products
11700,N/A,N/A,N/A,4.1,75,Baby-products
3000,N/A,N/A,Unik,4.4,13,Baby-products
18500,N/A,N/A,N/A,4.3,94,Baby-products
10928,18224,40%,N/A,3.8,13,Baby-products
6900,7000,1%,Little Angel,4.7,23,Baby-products
8000,20800,62%,N/A,4,1,Baby-products
2950,N/A,N/A,Generic,4.3,34,Baby-products
7626,8200,7%,Fashion,4.6,10,Baby-products
33000,N/A,N/A,Generic,4.4,10,Baby-products
7630,24750,69%,Generic,4.4,10,Baby-products
8000,20800,62%,N/A,4,1,Baby-products
7110,13193,46%,N/A,3.8,33,Baby-products
22315,41572,46%,Generic,4.4,24,Baby-products
3800,7000,46%,Generic,3.9,18,Baby-products
6300,7500,16%,Generic,N/A,N/A,Baby-products
8504,28336,70%,N/A,4.3,45,Baby-products
16000,20000,20%,Generic,4.5,2,Baby-products
35817,71637,50%,Generic,4.5,96,Baby-products
8500,N/A,N/A,N/A,4.2,51,Baby-products
17000,N/A,N/A,Generic,4.1,7,Baby-products
7900,13900,43%,Generic,1,1,Baby-products
18460,25850,29%,Fashion,4.1,45,Baby-products
8900,N/A,N/A,N/A,4,5,Baby-products
29000,N/A,N/A,N/A,5,3,Baby-products
11775,22357,47%,N/A,4,39,Baby-products
8000,20800,62%,N/A,4,1,Baby-products
12496,21744,43%,N/A,3.8,4,Baby-products
18810,24255,22%,Fashion,4.4,34,Baby-products
8900,N/A,N/A,N/A,4,60,Baby-products
10999,N/A,N/A,N/A,3.9,13,Baby-products
9700,12300,21%,Generic,4.1,202,Baby-products
28700,N/A,N/A,N/A,5,7,Baby-products
35000,N/A,N/A,Generic,3.9,14,Baby-products
15700,19500,19%,Generic,N/A,N/A,Baby-products
10300,N/A,N/A,Generic,3.8,15,Baby-products
3490,N/A,N/A,Fashion,4.2,161,Baby-products
3499,6000,42%,Generic,3.9,19,Baby-products
10476,10800,3%,N/A,4,243,Baby-products
10000,11000,9%,Generic,4.5,34,Baby-products
24680,30000,18%,Generic,3.8,8,Baby-products
78000,N/A,N/A,Generic,4.4,38,Baby-products
23100,46679,51%,Generic,4.9,8,Baby-products
3500,N/A,N/A,N/A,4.7,6,Baby-products
19520,36512,47%,Generic,4,13,Baby-products
9999,N/A,N/A,Generic,3.8,10,Baby-products
12640,22120,43%,Generic,2,2,Baby-products
13200,N/A,N/A,N/A,4.1,11,Baby-products
7000,N/A,N/A,N/A,N/A,N/A,Baby-products
