Current Price,Original Price,Discount,Brand,Rating,Review Count,Computing
5352,10949,51%,GUEETON,3.6,2737,Computing
4903,12342,60%,VIC,3.5,306,Computing
3940,19200,79%,GUEETON,4.3,4846,Computing
2813,5608,50%,LZDUATAN,4.3,2891,Computing
3752,24992,85%,EAGEAT,4.5,345,Computing
14550,15000,3%,N/A,4.3,29,Computing
3945,11270,65%,GUEETON,4.4,3221,Computing
2807,5297,47%,LZDUATAN,4.2,2559,Computing
3012,5344,44%,N/A,4.3,356,Computing
2764,4224,35%,N/A,3.2,287,Computing
14550,15000,3%,Mtng,4,203,Computing
2764,4352,36%,N/A,3.3,264,Computing
6319,9168,31%,N/A,3.8,1831,Computing
215000,220442,2%,Ace Elec,3.7,91,Computing
2844,4456,36%,N/A,4,214,Computing
7913,16219,51%,VIC,3.8,136,Computing
4597,6999,34%,N/A,4.5,255,Computing
1990,6000,67%,Generic,4.3,114,Computing
590000,750000,21%,N/A,4.6,24,Computing
5233,6448,19%,N/A,4,9972,Computing
3059,5072,40%,GUEETON,4.1,1004,Computing
4561,6320,28%,N/A,4.1,5467,Computing
6280,25450,75%,Kingnote,4.3,133,Computing
8107,10428,22%,Generic,4.2,185,Computing
9717,22720,57%,N/A,4,70,Computing
183900,192728,5%,N/A,3.4,38,Computing
7603,25539,70%,N/A,4.4,272,Computing
990,1300,24%,Generic,3.9,168,Computing
2981,5054,41%,Generic,4.1,114,Computing
5836,10046,42%,N/A,4.6,843,Computing
2933,13296,78%,Generic,4.3,1718,Computing
3597,18982,81%,Kingnote,4,70,Computing
4789,20504,77%,Kingnote,4.1,74,Computing
4089,9000,55%,Generic,4.5,421,Computing
6700,12000,44%,Generic,4.2,20,Computing
7703,12960,41%,N/A,3.9,23,Computing
4850,9118,47%,JIYUE,3.7,250,Computing
6350,10784,41%,JIYUE,3.8,458,Computing
215300,317878,32%,Blueing,4.1,61,Computing
4620,6254,26%,Kingnote,4.5,153,Computing
560000,N/A,N/A,Hp,N/A,N/A,Computing
560000,N/A,N/A,N/A,N/A,N/A,Computing
4800,24000,80%,LASA,N/A,N/A,Computing
2844,4456,36%,N/A,N/A,N/A,Computing
2793,11650,76%,Generic,N/A,N/A,Computing
17600,24000,27%,LASA,N/A,N/A,Computing
2400,12800,81%,LASA,N/A,N/A,Computing
250000,N/A,N/A,Hp,N/A,N/A,Computing
505000,N/A,N/A,Hp,N/A,N/A,Computing
21500,N/A,N/A,SEAGATE,N/A,N/A,Computing
850000,N/A,N/A,Hp,N/A,N/A,Computing
580000,680000,15%,Hp,N/A,N/A,Computing
4701,8321,44%,Generic,4.3,96,Computing
21000,25000,16%,N/A,4.3,33,Computing
2620,6740,61%,Mouse Pad,4.4,76,Computing
35487,72466,51%,Generic,4.4,317,Computing
8800,12499,30%,N/A,3.9,78,Computing
2905,16359,82%,N/A,4.2,968,Computing
19800,N/A,N/A,Generic,2.8,4,Computing
999,N/A,N/A,N/A,4.1,44,Computing
3438,16432,79%,GUEETON,4,218,Computing
6221,9168,32%,N/A,3.8,90,Computing
4290,7293,41%,Kingnote,4.5,137,Computing
19400,20000,3%,MTN,4.1,67,Computing
3981,9000,56%,Generic,4.5,279,Computing
4788,6999,32%,N/A,4.4,34,Computing
14030,28658,51%,Generic,4.2,64,Computing
20738,29940,31%,Generic,3.9,156,Computing
8850,13060,32%,Generic,3.6,234,Computing
3855,8090,52%,Generic,4.6,41,Computing
4631,7264,36%,Generic,4.1,97,Computing
105000,N/A,N/A,N/A,N/A,N/A,Computing
3950,13967,72%,Generic,4.4,1199,Computing
4742,10006,53%,Kingnote,4.1,32,Computing
4390,5000,12%,Hp,4,244,Computing
24063,48810,51%,Bisofice,3.9,142,Computing
6968,14216,51%,Generic,4.1,438,Computing
9999,19999,50%,Generic,5,2,Computing
7979,12640,37%,Generic,4.6,57,Computing
4809,15800,70%,GUEETON,4.5,1243,Computing
77600,80000,3%,N/A,4.3,9,Computing
16787,32499,48%,Generic,4.3,44,Computing
38900,N/A,N/A,SEAGATE,4.5,21,Computing
2240,4800,53%,Generic,3.8,119,Computing
6300,12000,48%,Generic,4.3,36,Computing
15950,N/A,N/A,Mifa,3.7,42,Computing
3100,8000,61%,Usb,3.6,85,Computing
6857,23700,71%,GtyGo,3,1,Computing
7000,N/A,N/A,N/A,4.3,30,Computing
17999,25000,28%,Airtel,4.2,13,Computing
7760,22544,66%,Ace Elec,4.5,398,Computing
2990,9500,69%,Otg,4,120,Computing
560000,N/A,N/A,Hp,N/A,N/A,Computing
560000,N/A,N/A,N/A,N/A,N/A,Computing
4800,24000,80%,LASA,N/A,N/A,Computing
2844,4456,36%,N/A,N/A,N/A,Computing
2793,11650,76%,Generic,N/A,N/A,Computing
17600,24000,27%,LASA,N/A,N/A,Computing
2400,12800,81%,LASA,N/A,N/A,Computing
250000,N/A,N/A,Hp,N/A,N/A,Computing
