Current Price,Original Price,Discount,Brand,Rating,Review Count,Electronics
105999,144949,27%,N/A,4,793,Electronics
89999,122640,27%,Hikers,4.1,213,Electronics
33000,N/A,N/A,Generic,4,772,Electronics
59999,75000,20%,Zealot,4.3,1070,Electronics
18160,221200,92%,Generic,3.8,375,Electronics
460000,500000,8%,TCL,4.5,87,Electronics
69995,155000,55%,N/A,4.2,372,Electronics
39800,76000,48%,Imenso,4.4,66,Electronics
100599,N/A,N/A,Mi+,N/A,N/A,Electronics
319999,446927,28%,N/A,4.4,29,Electronics
79800,125000,36%,Tedber,4,60,Electronics
12685,14715,14%,N/A,4.4,352,Electronics
6750,10000,33%,itel,4.6,617,Electronics
7700,10999,30%,N/A,3.8,41,Electronics
139499,188000,26%,N/A,4.2,94,Electronics
43950,60000,27%,Generic,4,75,Electronics
7900,12700,38%,Generic,3.5,112,Electronics
365000,N/A,N/A,UFC,4.3,101,Electronics
51500,52000,1%,Djack,4,187,Electronics
4800,9000,47%,STONE-TECH,4.3,420,Electronics
76037,246875,69%,Hikers,3.9,45,Electronics
6500,13500,52%,N/A,3.6,43,Electronics
349999,424130,17%,Royal,4.4,131,Electronics
9575,18740,49%,Generic,3.4,139,Electronics
4794,13104,63%,Generic,3.3,33,Electronics
10527,21445,51%,N/A,4.4,367,Electronics
6000,10000,40%,N/A,4.1,10,Electronics
5990,12700,53%,Generic,3.6,613,Electronics
129990,N/A,N/A,UFC,4.5,63,Electronics
37800,75000,50%,N/A,3.6,61,Electronics
43300,N/A,N/A,Generic,4.2,109,Electronics
26502,48089,45%,Generic,4.3,22,Electronics
12999,20000,35%,Generic,4,3,Electronics
14880,27632,46%,AEC,4.2,145,Electronics
7800,18000,57%,N/A,4.5,4,Electronics
6700,12900,48%,Generic,4,57,Electronics
54900,N/A,N/A,N/A,3.9,29,Electronics
6700,11540,42%,N/A,3.7,97,Electronics
118500,200000,41%,Zealot,4.1,132,Electronics
5924,14834,60%,Guixia,4.1,24,Electronics
54500,145650,63%,Generic,N/A,N/A,Electronics
24288,30816,21%,2NLF,N/A,N/A,Electronics
3950,10902,64%,Generic,N/A,N/A,Electronics
9874,16919,42%,Generic,N/A,N/A,Electronics
15800,23700,33%,Generic,N/A,N/A,Electronics
3260,9780,67%,LASA,N/A,N/A,Electronics
64000,100000,36%,N/A,N/A,N/A,Electronics
5924,14834,60%,Guixia,N/A,N/A,Electronics
13993,36650,62%,Generic,N/A,N/A,Electronics
37830,79000,52%,N/A,N/A,N/A,Electronics
27000,59000,54%,Motorola,N/A,N/A,Electronics
299000,320000,7%,Generic,N/A,N/A,Electronics
19999,28930,31%,Generic,3.4,53,Electronics
38693,59000,34%,MD TV,3.6,24,Electronics
5950,9000,34%,itel,4.6,182,Electronics
118500,200000,41%,Zealot,4.1,132,Electronics
129850,199201,35%,Amani,4.2,112,Electronics
35000,53260,34%,LG,4.4,46,Electronics
24000,26000,8%,Generic,2.3,3,Electronics
13895,24115,42%,2NLF,4.3,16,Electronics
143415,N/A,N/A,Mi+,3.9,48,Electronics
99999,100599,1%,Letv,4,44,Electronics
229990,1297800,82%,N/A,4,62,Electronics
39890,55000,27%,Generic,4.1,37,Electronics
15399,N/A,N/A,N/A,4.3,21,Electronics
15800,N/A,N/A,Generic,4.2,64,Electronics
76999,106915,28%,Hisense,4.2,94,Electronics
199000,400000,50%,Hisense,4.5,22,Electronics
10960,N/A,N/A,N/A,3.8,22,Electronics
8026,16280,51%,Generic,3.1,67,Electronics
5995,15000,60%,N/A,3.5,15,Electronics
5200,12300 -  15000,65%,N/A,4.1,18,Electronics
57999,69000,16%,N/A,4.2,631,Electronics
6500,13000,50%,Usb Power,4.7,60,Electronics
1990,3500,43%,Dstv,4.7,46,Electronics
13000,N/A,N/A,N/A,4.2,11,Electronics
7490,N/A,N/A,Generic,4.2,13,Electronics
4549,5600,19%,STONE-TECH,4.3,197,Electronics
12940,N/A,N/A,Realme earbuds,3.9,77,Electronics
10000,29999,67%,N/A,3,4,Electronics
3450,5000,31%,Generic,4.2,217,Electronics
388190,1250000,69%,Amani,4.3,52,Electronics
16500,55000,70%,Zealot,3.5,45,Electronics
81581,190000,57%,Polystar,4.1,37,Electronics
10817,14130,23%,Bolizma,4.3,3,Electronics
1599,3500,54%,Otg,4.2,369,Electronics
5900,10000,41%,Generic,3.5,113,Electronics
89989,135000,33%,Tedber,4,288,Electronics
69995,88000,20%,Zealot,4.3,242,Electronics
7500,N/A,N/A,N/A,3.6,13,Electronics
16000,20000,20%,Generic,3.8,46,Electronics
19991,N/A,N/A,Generic,4.4,100,Electronics
54500,145650,63%,Generic,N/A,N/A,Electronics
24288,30816,21%,2NLF,N/A,N/A,Electronics
3950,10902,64%,Generic,N/A,N/A,Electronics
9874,16919,42%,Generic,N/A,N/A,Electronics
15800,23700,33%,Generic,N/A,N/A,Electronics
3260,9780,67%,LASA,N/A,N/A,Electronics
64000,100000,36%,N/A,N/A,N/A,Electronics
5924,14834,60%,Guixia,N/A,N/A,Electronics
